"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000139219",92.2753898885802,-0.27525472622381,0.193346852086316,-1.42461748448119,0.154267803074285,0.271120919286968
"ENSG00000106541",47.8223494290511,-0.895427181631866,0.172717848393975,-5.18911257136633,2.11298636615728e-07,2.93470328632956e-06
"ENSG00000134363",39.2945348772276,0.0496273249126705,0.157592247439833,0.314834519514752,0.752887300751032,0.824630121304526
"ENSG00000081051",432.449777727545,-0.153116355308272,0.134313093977371,-1.1400489849196,0.254265893814715,0.389615719026717
"ENSG00000106366",31.6760436918202,-0.530445379380956,0.169601459685133,-3.12778164872361,0.00176130976597158,0.00807940259619993
"ENSG00000090382",42.1603938333345,0.268455260389863,0.150265769250554,1.78553070911795,0.0741752747951381,0.158156236236968
"ENSG00000164611",47.8354627792832,-0.0699825210733263,0.160392210225033,-0.436400290517348,0.662546328219571,0.753629713802003
"ENSG00000117399",45.7766000112397,0.285721271689831,0.153397251920487,1.862009688238,0.0626017246373461,0.138863904711262
"ENSG00000138772",23.685235798159,-0.289660441124014,0.168155561791537,-1.72269897088777,0.0849429765403525,0.176596624824018
"ENSG00000104760",37.6694698396188,-0.214644753173268,0.154064656594916,-1.39316625861682,0.163569520460822,0.283482704438167
"ENSG00000115009",71.3810891818392,-0.247463589929171,0.146644019135434,-1.68776025729326,0.0914572594899296,0.187029160511103
"ENSG00000118523",39.2037892756263,-0.328270727720048,0.142564164935082,-2.3020508102688,0.0213323069529585,0.0604314644559731
"ENSG00000158874",1742.38206145878,-0.573275668549699,0.141658725166712,-5.41531112343361,6.11822262135008e-08,9.86810100217755e-07
"ENSG00000134057",23.5079448994763,0.40331078213987,0.163555500576949,2.46464026532315,0.0137150870870692,0.0421437382045585
"ENSG00000107984",17.5924446318091,0.151262179799213,0.170600181039618,0.886035111554615,0.375598607095237,0.518067044269292
"ENSG00000026025",33.3776801971532,-0.489812617415759,0.1535753806678,-3.19048013731738,0.00142036604048245,0.00669983981359647
"ENSG00000131981",38.1600011969733,0.286577501508654,0.156024950433278,1.83575019796851,0.0663946100907612,0.145283610701884
"ENSG00000157456",15.9063192218464,0.18391460781168,0.1715210562652,1.07223437145192,0.283614775845216,0.423305635589875
"ENSG00000125148",29.2323936875802,0.152198943597876,0.168726353016159,-2.18714267251179,0.0287321103193211,0.0780763867372856
